year,school-1,school-2,score-1,score-2,school-1-result
2015,Brookline,Walpole,,,
2015,Brookline,Wellesley,,,
2015,Brookline,Weymouth,,,
2015,Dedham,Framingham,,,
2015,Dedham,Natick,,,
2015,Dedham,Needham,76,95,L
2015,Dedham,Newton North,,,
2015,Dedham,Norwood,,,
2015,Dedham,Walpole,,,
2015,Dedham,Wellesley,,,
2015,Dedham,Weymouth,,,
2015,Framingham,Natick,,,
2015,Framingham,Needham,84,100,L
2015,Framingham,Newton North,,,L
2015,Framingham,Norwood,,,
2015,Framingham,Walpole,97,84,W
2015,Framingham,Wellesley,83,83,T
2015,Framingham,Weymouth,,,
2015,Natick,Needham,86,98,L
2015,Natick,Newton North,,,
2015,Natick,Norwood,,,
2015,Natick,Walpole,,,
2015,Natick,Wellesley,,,
2015,Natick,Weymouth,,,
2015,Needham,Newton North,,,L
2015,Needham,Norwood,102,76,W
2015,Needham,Walpole,,,W
2015,Needham,Wellesley,91,95,L
2015,Needham,Weymouth,91,83,W
2015,Newton North,Norwood,,,
2015,Newton North,Walpole,,,
2015,Newton North,Wellesley,,,
2015,Newton North,Weymouth,,,
2015,Norwood,Walpole,,,
2015,Norwood,Wellesley,,,
2015,Norwood,Weymouth,,,
2015,Walpole,Wellesley,,,
2015,Walpole,Weymouth,,,
2015,Wellesley,Weymouth,,,
2014,Braintree,Brookline,,,
2014,Braintree,Dedham,,,
2014,Braintree,Framingham,,,
2014,Braintree,Natick,,,
2014,Braintree,Needham,78,103,L
2014,Braintree,Newton North,,,
2014,Braintree,Norwood,,,
2014,Braintree,Walpole,,,
2014,Braintree,Wellesley,,,
2014,Braintree,Weymouth,,,
2014,Brookline,Dedham,,,
2014,Brookline,Framingham,,,
2014,Brookline,Natick,,,
2014,Brookline,Needham,86,95,L
2014,Brookline,Newton North,,,
2014,Brookline,Norwood,,,
2014,Brookline,Walpole,,,
2014,Brookline,Wellesley,,,
2014,Brookline,Weymouth,,,
2014,Dedham,Framingham,,,
2014,Dedham,Natick,,,
2014,Dedham,Needham,,,L
