date	title	url
2011-02-23	Needham High swimmers finish successful season at States	https://www.wickedlocal.com/story/needham-times/2011/02/23/needham-high-swimmers-finish-successful/39791449007/
2011-02-16	Needham High swimmers race at Sectionals, head to state meet	https://www.wickedlocal.com/story/needham-times/2011/02/16/needham-high-swimmers-race-at/40539183007/
2011-02-09	Needham High swimmers win Bay State Conference title	https://www.wickedlocal.com/story/needham-times/2011/02/09/needham-high-swimmers-win-bay/39794837007/
2011-02-08	Brookline swim team takes second place in conference meet	https://www.wickedlocal.com/story/brookline-tab/2011/02/08/brookline-swim-team-takes-second/40028520007/
2011-02-03	Needham High's boys swim team wins Bay State title for first time since 1987	https://www.wickedlocal.com/story/needham-times/2011/02/03/needham-high-s-boys-swim/39730118007/
2011-01-27	Wellesley High Sports Roundup: Swimmers defeat Newton North to end winless streak	https://www.wickedlocal.com/story/wellesley-townsman/2011/01/27/wellesley-high-sports-roundup-swimmers/40446496007/
2011-01-26	Swimming: Rockets earn sixth win, close in on Bay State title	https://www.wickedlocal.com/story/needham-times/2011/01/26/swimming-rockets-earn-sixth-win/39849805007/
2011-01-26	Young Newton North swim team treading water in Bay State Conference	https://www.wickedlocal.com/story/newton-tab/2011/01/26/young-newton-north-swim-team/37290851007/
2011-01-19	Needham High swimmers take two of three	https://www.wickedlocal.com/story/needham-times/2011/01/19/needham-high-swimmers-take-two/39968356007/
2011-01-12	Brookline swimmers sink Newton North	https://www.wickedlocal.com/story/brookline-tab/2011/01/12/brookline-swimmers-sink-newton-north/40641146007/
2011-01-12	Schools: Flyers swim past Natick	https://www.wickedlocal.com/story/bulletin-tab/2011/01/12/schools-flyers-swim-past-natick/39014507007/
2011-01-12	Schools: Flyers swim past Natick	https://www.wickedlocal.com/story/bulletin-tab/2011/01/12/schools-flyers-swim-past-natick/39642149007/
2011-01-12	Swimmers defeat Framingham to stay unbeaten	https://www.wickedlocal.com/story/needham-times/2011/01/12/swimmers-defeat-framingham-to-stay/39967618007/
2010-12-29	Needham High boys swimming opens with two wins	https://www.wickedlocal.com/story/needham-times/2010/12/29/needham-high-boys-swimming-opens/40387414007/
2010-11-23	Needham High Roundup: Swimmers finish up successful season	https://www.wickedlocal.com/story/needham-times/2010/11/23/needham-high-roundup-swimmers-finish/40385638007/
2010-11-17	Needham High girls swimming takes 4th at South Sectionals	https://www.wickedlocal.com/story/needham-times/2010/11/17/needham-high-girls-swimming-takes/40312013007/
2010-11-10	Brookline swimmers take seventh place in Bay State Conference meet	https://www.wickedlocal.com/story/brookline-tab/2010/11/10/brookline-swimmers-take-seventh-place/40454725007/
2010-11-10	Wellesley High swimmers take fifth at Bay State Conference Championships	https://www.wickedlocal.com/story/wellesley-townsman/2010/11/10/wellesley-high-swimmers-take-fifth/40569997007/
2010-11-09	Needham High swim team second in Bay State Conference Championships	https://www.wickedlocal.com/story/needham-times/2010/11/09/needham-high-swim-team-second/40007946007/
2010-11-09	Newton North swim team competes in Bay State Conference Championships	https://www.wickedlocal.com/story/newton-tab/2010/11/09/newton-north-swim-team-competes/37271404007/
2010-11-08	Schools: Framingham swimming wins BSC	https://www.wickedlocal.com/story/bulletin-tab/2010/11/08/schools-framingham-swimming-wins-bsc/38952555007/
2010-11-08	Schools: Framingham swimming wins BSC	https://www.wickedlocal.com/story/bulletin-tab/2010/11/08/schools-framingham-swimming-wins-bsc/39817086007/
2010-11-03	Needham High Roundup: Swimmers nab second straight Carey Division title	https://www.wickedlocal.com/story/needham-times/2010/11/03/needham-high-roundup-swimmers-nab/40310445007/
2010-10-30	Schools: Framingham swimming tops Natick	https://www.wickedlocal.com/story/bulletin-tab/2010/10/30/schools-framingham-swimming-tops-natick/38931458007/
2010-10-30	Schools: Framingham swimming tops Natick	https://www.wickedlocal.com/story/bulletin-tab/2010/10/30/schools-framingham-swimming-tops-natick/39654499007/
2010-10-28	Newton North girls swim team pooling its talents	https://www.wickedlocal.com/story/newton-tab/2010/10/28/newton-north-girls-swim-team/37313454007/
2010-10-21	Wellesley High swim team moves to 6-2 with pair of wins	https://www.wickedlocal.com/story/wellesley-townsman/2010/10/21/wellesley-high-swim-team-moves/40450431007/
2010-10-20	Needham High girls swim team continues to make waves	https://www.wickedlocal.com/story/needham-times/2010/10/20/needham-high-girls-swim-team/40386278007/
2010-10-19	Needham High girls swim team stays unbeaten	https://www.wickedlocal.com/story/needham-times/2010/10/19/needham-high-girls-swim-team/40504313007/
2010-10-14	Walpole swimmers climb to 6-0	https://www.wickedlocal.com/story/times-advocate/2010/10/14/walpole-swimmers-climb-to-6/40406960007/
2010-10-07	Swimming: Rebels now 5-0 after routing Weymouth	https://www.wickedlocal.com/story/times-advocate/2010/10/07/swimming-rebels-now-5-0/40461890007/
2010-10-07	Wellesley High Roundup: Ganley sets new mark in breaststroke in swim team victory	https://www.wickedlocal.com/story/wellesley-townsman/2010/10/07/wellesley-high-roundup-ganley-sets/40585651007/
2010-10-06	Braintree swimming: A first for the Wamps	https://www.wickedlocal.com/story/braintree-forum/2010/10/06/braintree-swimming-first-for-wamps/39556269007/
