year,division,place,school,score
2012,Division 2 State,13,Notre Dame Academy-Worcester,68
2012,Division 2 State,14,Stoneham,52
2012,Division 2 State,15,Winchester,51
2012,Division 2 State,16,"Mount Alvernia, Newton",49
2012,Division 2 State,17,Melrose,47
2012,Division 2 State,18,Academy Notre Dame-Tyngsboro,5
2011,Division 1 State,1,Andover,481
2011,Division 1 State,2,Chelmsford,273
2011,Division 1 State,3,Acton-Boxborough,247
2011,Division 1 State,4,Needham,173
2011,Division 1 State,5,Framingham,171
2011,Division 1 State,6,Walpole,166
2011,Division 1 State,7,Haverhill,154
2011,Division 1 State,8,Lexington,77
2011,Division 1 State,9,Methuen,72
2011,Division 1 State,10,Newton North,64
2011,Division 1 State,11,Dracut,60
2011,Division 1 State,12,Braintree,56
2011,Division 1 State,13,Natick,51
2011,Division 1 State,14,Norwood,49
2011,Division 1 State,15,Central Catholic-Lawrence,46
2011,Division 1 State,16,Marshfield,41
2011,Division 1 State,17,Billerica Memorial,36
2011,Division 1 State,18,Wellesley,35
2011,Division 1 State,19,Durfee,33
2011,Division 1 State,20,Brockton,27
2011,Division 1 State,21,Lowell,6
2011,Division 1 State,21,Brookline,6
2011,Division 1 State,23,Boston Latin,1
2011,Division 2 State,1,Bishop Feehan,363.5
2011,Division 2 State,2,Reading,319
2011,Division 2 State,3,Bishop Stang,255.5
2011,Division 2 State,4,Notre Dame Academy - Hingham,193
2011,Division 2 State,5,Westwood,170
2011,Division 2 State,6,Sandwich,156
2011,Division 2 State,7,Belmont,136
2011,Division 2 State,8,Seekonk,134
2011,Division 2 State,9,Milford,94
2011,Division 2 State,10,Wakefield,84
2011,Division 2 State,11,Apponequet Regional,82
2011,Division 2 State,12,Ursuline Academy,81
2011,Division 2 State,13,Stoneham,64
2011,Division 2 State,14,Mount Alvernia,54
2011,Division 2 State,15,Notre Dame Academy - Worcester,44
2011,Division 2 State,16,Winchester,26
2011,Division 2 State,17,Melrose,22
2011,Division 2 State,18,Burlington,14
2011,Division 2 State,18,Dedham,14
2011,Division 2 State,20,Academy Notre Dame-Tyngsboro,9
2011,Division 2 State,21,Saint Peter/Marian,4
2010,Division 1 State,1,Andover,357.5
2010,Division 1 State,2,Acton-Boxborough,225
2010,Division 1 State,3,Chelmsford,187
2010,Division 1 State,4,Framingham,113
2010,Division 1 State,5,Haverhill,98
2010,Division 1 State,6,Lexington,97
2010,Division 1 State,7,Central Catholic-Lawrence,63
2010,Division 1 State,8,Needham,62.5
2010,Division 1 State,9,Wellesley,52.5
2010,Division 1 State,10,Natick,43.5
2010,Division 1 State,11,Norwood,28
2010,Division 1 State,12,Lowell,19
2010,Division 1 State,13,Newton North,18
2010,Division 1 State,14,Brookline,12
2010,Division 1 State,15,Boston Latin,9
2010,Division 1 State,16,Methuen,4
2010,Division 1 State,17,Braintree,3
2010,Division 1 State,17,St. Peter-Marian,3
2010,Division 2 State,1,Reading,279
2010,Division 2 State,2,Bishop Feehan,241
2010,Division 2 State,3,Bishop Stang,150
2010,Division 2 State,4,Notre Dame Academy - Hingham,137
2010,Division 2 State,5,Seekonk,97
2010,Division 2 State,6,Ursuline Academy,84
2010,Division 2 State,7,Walpole,75
2010,Division 2 State,8,Westwood,72
2010,Division 2 State,9,Stoneham,71
2010,Division 2 State,10,Sandwich,70
2010,Division 2 State,11,Belmont,26
2010,Division 2 State,12,Mount Alvernia,25
2010,Division 2 State,12,Notre Dame Academy - Worcester,25
2010,Division 2 State,14,Winchester,14
2010,Division 2 State,14,Milford,14
2010,Division 2 State,16,Wakefield,9
2009,Division 1 State,1,Andover,321
2009,Division 1 State,2,Chelmsford,214.5
2009,Division 1 State,3,Acton-Boxborough,193.5
2009,Division 1 State,4,Framingham,98.5
2009,Division 1 State,5,Haverhill,81.5
2009,Division 1 State,6,New Bedford,71
2009,Division 1 State,7,Dedham,62
2009,Division 1 State,8,Lexington,46
2009,Division 1 State,9,Central Catholic,44
2009,Division 1 State,10,Marshfield,39
2009,Division 1 State,11,Wellesley,38
2009,Division 1 State,12,Natick,33
2009,Division 1 State,13,Dracut,29
2009,Division 1 State,14,Lowell,28
2009,Division 1 State,14,Needham,28
2009,Division 1 State,16,Braintree,25
2009,Division 1 State,17,Durfee,19
2009,Division 1 State,18,Newton North,10
2009,Division 1 State,19,Brookline,8
2009,Division 1 State,20,Boston Latin,6
2009,Division 2 State,1,Bishop Feehan,264
2009,Division 2 State,2,Bishop Stang,175
2009,Division 2 State,3,Notre Dame Academy - Hingham,154
2009,Division 2 State,4,Winchester,148
2009,Division 2 State,5,Reading,140
2009,Division 2 State,6,Seekonk,99
2009,Division 2 State,7,Westwood,79
2009,Division 2 State,8,Norwood,75
2009,Division 2 State,9,Fontbonne Academy,67
2009,Division 2 State,10,Ursuline Academy,38
2009,Division 2 State,11,Wakefield,37
2009,Division 2 State,12,Walpole,35
2009,Division 2 State,13,Milford,28
2009,Division 2 State,14,Sandwich,23
2009,Division 2 State,15,Stoneham,16
2009,Division 2 State,16,Belmont,12
2009,Division 2 State,17,Apponequet Regional,5
2008,Division 1 State,1,Chelmsford,277
2008,Division 1 State,2,Acton-Boxborough,170
2008,Division 1 State,3,Reading,165.5
2008,Division 1 State,4,Andover,162.5
2008,Division 1 State,5,Haverhill,119
2008,Division 1 State,6,Framingham,89
2008,Division 1 State,7,Lexington,79
