year	division	place	school	score
2008	South Sectional Championships	7	Fontbonne Academy	63.5
2008	South Sectional Championships	8	Durfee	59
2008	South Sectional Championships	9	Brockton	52.5
2008	South Sectional Championships	10	Norwood	51.5
2008	South Sectional Championships	11	Westwood	36
2008	South Sectional Championships	12	Seekonk	35
2008	South Sectional Championships	13	Ursuline Academy	32.5
2008	South Sectional Championships	14	Walpole	31
2008	South Sectional Championships	15	Wellesley	29
2008	South Sectional Championships	16	Braintree	25
2008	South Sectional Championships	17	Milford	24
2008	South Sectional Championships	18	Dedham	15
2008	South Sectional Championships	19	Natick	14
2008	South Sectional Championships	19	Apponequet	14
2008	South Sectional Championships	21	Marshfield	8
2008	South Sectional Championships	22	Weymouth	2
2007	North Sectional Championships	1	Andover	228
2007	North Sectional Championships	2	Acton-Boxborough	221
2007	North Sectional Championships	3	Chelmsford	161
2007	North Sectional Championships	4	Reading	152
2007	North Sectional Championships	5	Lexington	105
2007	North Sectional Championships	6	Haverhill	96
2007	North Sectional Championships	7	Winchester	81
2007	North Sectional Championships	8	Methuen	80
2007	North Sectional Championships	9	Central Catholic	46
2007	North Sectional Championships	10	Belmont	42
2007	North Sectional Championships	11	Dracut	41
2007	North Sectional Championships	12	Boston Latin School	40
2007	North Sectional Championships	13	Lowell	36
2007	North Sectional Championships	14	Burlington	21
2007	North Sectional Championships	15	Stoneham	19
2007	North Sectional Championships	16	Academy of Notre Dame	12
2007	North Sectional Championships	17	Notre Dame Academy	10
2007	North Sectional Championships	18	Billerica	4
2007	South Sectional Championships	1	Notre Dame Academy - Hingham	255
2007	South Sectional Championships	2	Bishop Feehan	201.5
2007	South Sectional Championships	3	Bishop Stang	186
2007	South Sectional Championships	4	Framingham	119
2007	South Sectional Championships	5	Milford	89
2007	South Sectional Championships	6	Brookline	84
2007	South Sectional Championships	6	Norwood	84
2007	South Sectional Championships	8	Fontbonne Academy	82
2007	South Sectional Championships	9	Durfee	41
2007	South Sectional Championships	9	Natick	41
2007	South Sectional Championships	11	Wellesley	37
2007	South Sectional Championships	12	Brockton	33
2007	South Sectional Championships	13	Dedham	30
2007	South Sectional Championships	14	Seekonk	27
2007	South Sectional Championships	15	Apponequet	21
2007	South Sectional Championships	16	Ursuline Academy	18
2007	South Sectional Championships	17	Braintree	17
2007	South Sectional Championships	18	Westwood	15
2007	South Sectional Championships	19	Needham	6
2007	South Sectional Championships	20	Attleboro	3
2007	South Sectional Championships	21	Walpole	2
2007	South Sectional Championships	22	Weymouth	1
2007	South Sectional Championships	22	Marshfield	1
2007	South Sectional Championships	24	Newton North	0.5
2006	North Sectional Championships	1	Andover	320
2006	North Sectional Championships	2	Acton-Boxborough	210.5
2006	North Sectional Championships	3	Chelmsford	192
2006	North Sectional Championships	4	Reading	95
2006	North Sectional Championships	5	Methuen	79
2006	North Sectional Championships	6	Haverhill	73
2006	North Sectional Championships	7	Winchester	70
2006	North Sectional Championships	8	Cambridge Rindge and Latin	57
2006	North Sectional Championships	9	Belmont	53
2006	North Sectional Championships	10	Lexington	44
2006	North Sectional Championships	11	Stoneham	42.5
2006	North Sectional Championships	12	Burlington	41
2006	North Sectional Championships	13	Central Catholic	31
2006	North Sectional Championships	14	Lowell	29
2006	North Sectional Championships	15	Dracut	26
2006	North Sectional Championships	16	Academy of Notre Dame	12
2006	North Sectional Championships	17	Boston Latin School	11
2006	North Sectional Championships	18	Billerica	7
2006	North Sectional Championships	19	Notre Dame Academy	2
2006	South Sectional Championships	1	Notre Dame Academy - Hingham	244
2006	South Sectional Championships	2	Bishop Stang	188.5
